varied_parameter,varied_value,method,scenario,size,success_rate,avg_return,avg_steps_on_success,prep_time_sec,eval_time_sec,total_time_sec,ql_episodes,ql_alpha,ql_gamma,ql_epsilon_start,ql_epsilon_min,ql_epsilon_decay,vi_gamma,vi_theta,csp_fallback
ql_gamma,0.9,QLearning,medium,12,1.0,-1.8333333333333333,27.566666666666666,0.11438483399979305,0.006216082998435013,0.12060091699822806,1500,0.2,0.9,1.0,0.05,0.995,0.95,1e-06,True
ql_gamma,0.95,QLearning,medium,12,1.0,-1.925,27.658333333333335,0.11302041700400878,0.006281374997342937,0.11930179200135171,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_gamma,0.98,QLearning,medium,12,1.0,-1.1,26.8,0.11012495799514,0.006073084005038254,0.11619804200017825,1500,0.2,0.98,1.0,0.05,0.995,0.95,1e-06,True
ql_gamma,0.995,QLearning,medium,12,1.0,-1.8666666666666667,27.533333333333335,0.11747708299662918,0.006740583005012013,0.12421766600164119,1500,0.2,0.995,1.0,0.05,0.995,0.95,1e-06,True
vi_gamma,0.85,ValueIteration,easy,10,1.0,7.033333333333333,18.8,0.017223625007318333,0.0037380419962573797,0.020961667003575712,1500,0.2,0.95,1.0,0.05,0.995,0.85,1e-06,True
vi_gamma,0.9,ValueIteration,easy,10,1.0,7.05,18.783333333333335,0.018068417004542425,0.0037172500015003607,0.021785667006042786,1500,0.2,0.95,1.0,0.05,0.995,0.9,1e-06,True
vi_gamma,0.95,ValueIteration,easy,10,1.0,7.066666666666666,18.8,0.01831645899801515,0.0037292079941835254,0.022045666992198676,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
vi_gamma,0.98,ValueIteration,easy,10,1.0,7.041666666666667,18.825,0.0187677909998456,0.0037307919992599636,0.022498582999105565,1500,0.2,0.95,1.0,0.05,0.995,0.98,1e-06,True
vi_gamma,0.995,ValueIteration,easy,10,1.0,7.033333333333333,18.833333333333332,0.018818625001586042,0.0037254579947330058,0.022544082996319048,1500,0.2,0.95,1.0,0.05,0.995,0.995,1e-06,True
vi_gamma,0.85,ValueIteration,hard,14,0.0,-56.0,,0.08362879099149723,0.009113417007029057,0.09274220799852628,1500,0.2,0.95,1.0,0.05,0.995,0.85,1e-06,True
